,name,elo,games
294,Flounder,987.9504119847367,1
295,freakyjoet,1155.2085815953399,2
296,Eleana,844.79141840466,2
297,Beanicus,973.2476207825669,19
298,[Funny Name Here],978.7967855960092,1
299,Mathotma Goondi,1019.5188495156616,2
300,TPS,1070.0,1
301,Jaycee,930.0,1
302,Paul,1058.9818742688994,5
303,Heiseosaurus,956.3773115215716,1
304,Mako109,1272.2318630878653,12
305,Mr Imagination,1101.0033203311152,3
306,ValkyrieeOZ,984.3573182924732,1
307,Big Boss Ross,1024.3463840109282,3
308,Argentum,1078.1875367398836,11
309,Pwyll,986.0218388558471,3
310,The Bassist Gamer,879.8942995678257,2
311,Ammo37,986.0,1
312,Lia(Yknr),1014.0,1
313,TarcoMarco,812.2337210467279,1
314,Basher513,956.4292186539171,1
315,bachtat,1013.0,2
316,Nanomodz,862.5547453790658,1
317,bkcammack,973.8915134571293,2
318,Psychosisnz,958.0,1
319,DiamondHands<3,1154.9674477023684,6
320,Unknown?,1035.4842760720658,3
321,FreeBerg,876.7244934242046,7
322,Sir_Chicken,862.836954493266,14
323,samplaza19,1014.0,1
324,PandaPlaza1277,986.0,1
325,Wusiji Doctor,1034.4211770720424,7
326,Captain Keter,942.5965744941998,8
327,victor.mendez.fernandez,986.6343542044582,4
328,stephen,950.5313293132916,3
329,LiveAndLetDie11,957.5867638346516,4
330,Black_Totoro,933.6729539934364,4
331,corbett.alex384,960.644129518814,1
332,Silvershadow c,1012.1057854915218,3
333,Pr0f3SS0RAS,1027.9868384129825,3
334,davidtopf2,853.9426536835523,2
335,Shiptonator,927.1808589149857,1
336,tasadur,905.6495806722644,3
337,Another Jim,1032.1018618123521,2
338,Admiral W.,968.7598023717565,1
339,Olinus,964.1801528450703,1
340,Blade19,1048.43065310199,1
341,svdave,914.2774286284565,1
342,Mjorr,977.3675837607748,1
343,Mundo,885.9146166177303,3
344,Ninja Boomer,977.9495448823855,2
345,kuririnad,930.0,1
346,Duceman,1070.0,1
347,Jayjaxx,924.8501280315639,2
348,BigRig,1178.9481804070454,4
349,zmuzzy,929.9229543728494,1
350,Firemoon,1104.8004116633674,7
351,QcKraag,994.2979454277702,7
352,Bear-ly Obvious,977.2299352112765,6
353,Secret Moses,839.6727990093596,1
354,Uncanny Valley Girl,952.6009339088654,1
355,EmpathicOx,933.0881344459656,1
356,The Elusive Mandog,853.7457360991541,4
357,Pluisjen,1015.6607837688008,1
358,ryan.tognazzini,942.3357908772277,1
359,die_2,1027.0319362728487,1
360,Sir Honic,952.1363522016223,1
361,CaptainBill321,906.6956446133623,2
362,Back Entrance Commando,958.0,1
363,GreenDragoon,1053.4360962239705,2
364,Darth Grachmo,946.9472548064389,3
365,epklein89,864.3145331398093,9
